course_name,instructor,course_url,course_description,reviews_avg,level,reviews_count,course_duration,course_flag,students_count,course url
2022 Complete Python Bootcamp From Zero to Hero in Python,Jose Portilla,https://www.udemy.com/course/complete-python-bootcamp/,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,4.6,All Levels,440383,22,,"1,629,692",https://www.udemy.com/course/complete-python-bootcamp/
The Web Developer Bootcamp 2022,Colt Steele,https://www.udemy.com/course/the-web-developer-bootcamp/,"COMPLETELY REDONE - The only course you need to learn web development - HTML, CSS, JS, Node, and More!",4.7,All Levels,248508,64,,"830,559",https://www.udemy.com/course/the-web-developer-bootcamp/
The Complete 2022 Web Development Bootcamp,Dr. Angela Yu,https://www.udemy.com/course/the-complete-web-development-bootcamp/,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, Web3 and DApps",4.7,All Levels,234837,65.5,Bestseller,"794,897",https://www.udemy.com/course/the-complete-web-development-bootcamp/
Angular - The Complete Guide (2023 Edition),Maximilian Schwarzmuller,https://www.udemy.com/course/the-complete-guide-to-angular-2/,"Master Angular 14 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",4.6,All Levels,174576,34.5,Bestseller,"634,196",https://www.udemy.com/course/the-complete-guide-to-angular-2/
Java Programming Masterclass covering Java 11 & Java 17,"Tim Buchalka, Tim Buchalka's Learn Programming Academy",https://www.udemy.com/course/java-the-complete-java-developer-course/,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,4.5,All Levels,171838,80.5,Bestseller,"727,934",https://www.udemy.com/course/java-the-complete-java-developer-course/
"React - The Complete Guide (incl Hooks, React Router, Redux)","Academind by Maximilian Schwarzmuller, Maximilian Schwarzmuller",https://www.udemy.com/course/react-the-complete-guide-incl-redux/,"Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",4.6,All Levels,166128,49.5,Bestseller,"649,985",https://www.udemy.com/course/react-the-complete-guide-incl-redux/
Machine Learning A-Z: Hands-On Python & R In Data Science,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team",https://www.udemy.com/course/machinelearning/,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,4.5,All Levels,163104,42.5,,"900,823",https://www.udemy.com/course/machinelearning/
The Complete JavaScript Course 2023: From Zero to Expert!,Jonas Schmedtmann,https://www.udemy.com/course/the-complete-javascript-course/,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",4.7,All Levels,156031,69,Bestseller,"699,335",https://www.udemy.com/course/the-complete-javascript-course/
100 Days of Code: The Complete Python Pro Bootcamp for 2022,Dr. Angela Yu,https://www.udemy.com/course/100-days-of-code/,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",4.7,All Levels,150024,64,Bestseller,"662,274",https://www.udemy.com/course/100-days-of-code/
Python for Data Science and Machine Learning Bootcamp,Jose Portilla,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",4.6,All Levels,122487,25,Bestseller,"588,524",https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/
The Data Science Course 2022: Complete Data Science Bootcamp,"365 Careers, 365 Careers Team",https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",4.6,All Levels,114535,32,Bestseller,"539,202",https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/
Automate the Boring Stuff with Python Programming,Al Sweigart,https://www.udemy.com/course/automate/,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",4.7,All Levels,103366,9.5,,"1,060,445",https://www.udemy.com/course/automate/
Complete C# Unity Game Developer 2D,"GameDev.tv Team, Rick Davidson, Gary Pettie",https://www.udemy.com/course/unitycourse/,"Learn Unity in C# & Code Your First Five 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap",4.7,All Levels,96126,18.5,,"433,485",https://www.udemy.com/course/unitycourse/
Learn Python Programming Masterclass,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",https://www.udemy.com/course/python-the-complete-python-developer-course/,This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,4.6,All Levels,94413,72.5,,"394,722",https://www.udemy.com/course/python-the-complete-python-developer-course/
Selenium WebDriver with Java -Basics to Advanced+Frameworks,Rahul Shetty,https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/,"""TOP RATED  #1 Master SELENIUM java 4.0 (Latest) course"" -5 Million learning worldWide with great collaboration",4.6,All Levels,89742,53.5,Bestseller,"280,503",https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/
Build Responsive Real-World Websites with HTML and CSS,Jonas Schmedtmann,https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,"Learn modern HTML5, CSS3 and web design by building a stunning website for your portfolio! Includes flexbox and CSS Grid",4.8,All Levels,85094,37.5,Bestseller,"341,962",https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/
iOS & Swift - The Complete iOS App Development Bootcamp,Dr. Angela Yu,https://www.udemy.com/course/ios-13-app-development-bootcamp/,From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!,4.8,All Levels,80067,60.5,Bestseller,"311,592",https://www.udemy.com/course/ios-13-app-development-bootcamp/
Modern React with Redux,Stephen Grider,https://www.udemy.com/course/react-redux/,"Master React and Redux with React Router, Webpack, and Create-React-App.  Includes Hooks!",4.7,All Levels,77591,52.5,Bestseller,"275,832",https://www.udemy.com/course/react-redux/
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,"Colt Steele, Ian Schoonover",https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,"JUST COMPLETELY REDONE!  Master SQL, Work With Complex Databases, Build Reports, and More!",4.6,Beginner,74438,37.5,Bestseller,"344,881",https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/
The Complete Web Developer Course 2.0,"Rob Percival, Codestars  over 2 million worldwide!",https://www.udemy.com/course/the-complete-web-developer-course-2/,"Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!",4.6,All Levels,70448,28.5,,"304,994",https://www.udemy.com/course/the-complete-web-developer-course-2/
The Complete Node.js Developer Course (3rd Edition),"Andrew Mead, Rob Percival",https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,"Learn Node.js by building real-world applications with Node JS, Express, MongoDB, Jest, and more!",4.6,All Levels,67880,35,,"283,695",https://www.udemy.com/course/the-complete-nodejs-developer-course-2/
Spring & Hibernate for Beginners (includes Spring Boot),Chad Darby,https://www.udemy.com/course/spring-hibernate-tutorial/,"Spring 5: Learn Spring 5 Core, AOP, Spring MVC, Spring Security, Spring REST, Spring Boot 2, Thymeleaf, JPA & Hibernate",4.6,All Levels,66391,42.5,Bestseller,"282,683",https://www.udemy.com/course/spring-hibernate-tutorial/
Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,"Sam Pattuzzi, GameDev.tv Team, Stephen Ulibarri",https://www.udemy.com/course/unrealcourse/,Created in collaboration with Epic Games. Learn C++ from basics while making your first 5 video games in Unreal,4.7,All Levels,61325,29.5,Bestseller,"319,855",https://www.udemy.com/course/unrealcourse/
The Python Mega Course: Learn Python in 40 Days with 18 Apps,Ardit Sulce,https://www.udemy.com/course/the-python-mega-course/,"New in 2022! Take the full course to become a Python programmer, or pick any project to master specific areas of Python.",4.6,All Levels,59372,36.5,,"279,373",https://www.udemy.com/course/the-python-mega-course/
C# Basics for Beginners: Learn C# Fundamentals by Coding,Mosh Hamedani,https://www.udemy.com/course/csharp-tutorial-for-beginners/,"Master C# fundamentals in 6 hours - The most popular course with 50,000+, packed with tips and exercises!",4.5,Beginner,57641,5.5,,"191,563",https://www.udemy.com/course/csharp-tutorial-for-beginners/
The Complete Web Developer in 2023: Zero to Mastery,"Andrei Neagoie, Zero To Mastery",https://www.udemy.com/course/the-complete-web-developer-zero-to-mastery/,"Learn to code and become a Web Developer in 2023 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!",4.7,All Levels,57562,38.5,,"197,701",https://www.udemy.com/course/the-complete-web-developer-zero-to-mastery/
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,"Bret Fisher, Docker Captain Program",https://www.udemy.com/course/docker-mastery/,"Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, Swarm and Registry using DevOps",4.7,All Levels,56703,20,Bestseller,"280,933",https://www.udemy.com/course/docker-mastery/
Vue - The Complete Guide (incl. Router & Composition API),Maximilian Schwarzmuller,https://www.udemy.com/course/vuejs-2-the-complete-guide/,Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,4.7,All Levels,56394,32,Bestseller,"206,761",https://www.udemy.com/course/vuejs-2-the-complete-guide/
