user_id,course_title,user_rating
user_49193,Leveraging Real-Time Analytics in Slack,4.3
user_43635,"Introduction to Containers w/ Docker, Kubernetes & OpenShift",1.0
user_24061,Artificial Intelligence Music Creation (2022 New Edition),4.0
user_39782,Python Data Structures,5.0
user_06086,"Ensemble Machine Learning in Python: Random Forest, AdaBoost",4.2
user_14939,Angular 2 & TypeScript Beginner Web Development,3.0
user_08978,Learning Visual Basic .NET - A Guide To VB.NET Programming,4.2
user_06750,"TestNG - All in One (Crash Course), Interview question & MCQ",3.6
user_09090,Manual Software Testing: Complete Course with Practical Labs,3.8
user_11423,EasyPy3: Python for Beginners,4.1
user_05292,Data Processing with Logstash (and Filebeat),4.6
user_26269,C# Console Programming Exercises for Beginners Step by Step,4.0
user_17938,The Complete Guide to JSON Parsing Using Swift 5,4.4
user_01519,Quick Introduction to Postman and API Testing for Beginners,4.5
user_50790,Serious Gaming,4.1
user_06908,Learn C# for Beginners Crash Course,4.3
user_43836,"Content, Advertising & Social IMC",4.9
user_51434,Web Application Security Testing with Burp Suite,4.0
user_10232,"ROS2 For Beginners (ROS Foxy, Humble - 2022)",4.7
user_00541,Responsive Web Design: HTML5 + CSS3 for Entrepreneurs 2018,5.0
user_21624,Top Node and Javascript Bundle: Learn Node and JS,4.7
user_31862,Parcel Bundler: The Complete Tutorial,4.5
user_13710,Swift 3 - Learn to Code with Apple's New Language,4.2
user_44721,Introduction to Line Balancing Using Precedence Diagram,4.8
user_36121,Learn to Build Web Apps using Laravel Framework,5.0
user_13707,Swift 3 - Learn to Code with Apple's New Language,4.0
user_23092,Learn By Example : Apache Flink,3.7
user_39999,"Mechanics: Motion, Forces, Energy and Gravity, from Particles to Planets",4.7
user_44158,Teach English Now! Capstone Project 2,5.0
user_44778,Change Leadership: Developing Strategic Gap Analysis in Miro,5.0
user_11912,"REST API Automation:REST Assured,Serenity BDD Framework",4.2
user_02912,The Complete Android S + Java Developer Course : 2022,4.3
user_10462,Python Django Web Development: To-Do App,3.5
user_30995,"RxJS - Mastering Observables, Subjects and Operators",3.6
user_07759,Python 3 For Beginners in 2020!,4.9
user_30647,Apache Kylin : Implementing OLAP on the Hadoop platform,4.5
user_20248,Getting Started with PHP 7,4.0
user_41337,Linear Circuits 1: DC Analysis,4.2
user_55033,Translation in Practice,3.7
user_27833,Be a Bootstrap Developer from scratch,4.5
user_48410,The Music of the Beatles,4.8
user_42418,"Faster Together, Enhancing the Recruitment of Minorities in Clinical Trials",4.1
user_35653,.NET MAUI Mobile App Development,4.6
user_13914,Flutter BLoC - From Zero to Hero Complete Course,4.6
user_23679,Creating powerful API's with Django Rest Framework on Heroku,4.6
user_03685,The Complete Git Guide: Understand and master Git and GitHub,5.0
user_07479,How To Get A Job In The Video Game Industry,5.0
user_05780,SQL Server Reporting Services Part 1 (SSRS),4.4
user_62052,"Pressure, Force, Motion, and Humidity Sensors",4.7
user_02568,Deep Learning: Advanced Natural Language Processing and RNNs,4.5
user_44197,Cloud Networking,4.3
user_07200,"Complete Vue Developer 2023: Zero to Mastery (Pinia, Vitest)",4.8
user_42726,Global Health and Humanitarianism,4.5
user_04401,ISTQB Foundation Level chapter-wise exams [2022 updated],4.4
user_54338,U101: Understanding College and College Life,5.0
user_10750,TDD in C# From A to Z,4.6
user_00679,Java In-Depth: Become a Complete Java Engineer!,4.1
user_23019,MobX In Depth With React(Hooks+TypeScript),3.2
user_38551,Tracking Student Growth using Google Slides,4.5
user_01974,The Complete Python Masterclass: Learn Python From Scratch,4.3
user_03162,Master the Coding Interview: Big Tech (FAANG) Interviews,4.6
user_44905,De-Mystifying Mindfulness,4.1
user_25551,How to make a Portfolio Wordpress Website in Elementor 2020,4.7
user_11385,Machine Learning Classification Bootcamp in Python,4.2
user_12064,Learn Azure step by step.,4.6
user_25148,"Database Engineer/DBA - (PostgreSQL, IBM-DB2, MariaDB,NoSQL)",4.2
user_14237,Master HTML:5 from very beginner to Pro,4.3
user_57052,Image Denoising Using AutoEncoders in Keras and Python,4.4
user_42696,Meaningful Predictive Modeling,4.3
user_08339,Introduction to web programming for GIS applications,4.4
user_09810,A Beginners Guide to Advanced JavaScript & ES6 - ES2017,4.6
user_54740,Lean Software Development,3.9
user_15992,The Nuxt 3 Bootcamp - The Complete Developer Guide,4.3
user_29911,Game Development With C#,4.4
user_17773,Build ECommerce Shopping Cart By React & Redux 2020 Edition,4.0
user_14870,Vuetify: Create an App with Vue JS & Vuex - in 5 Hours!,4.9
user_56591,Regression Modeling in Practice,4.7
user_43561,Gmail: The Foundation To Accessing Google Apps,4.8
user_39213,Researcher Management and Leadership Training,4.9
user_61200,Business English: Finance and Economics,4.5
user_32322,HTML5:  HTML Authoring Certification Course,4.4
user_24094,Lambda with Functional Programming in Java8,4.6
user_27587,The Complete Nuxt.js & Vue.js Course | Self Promo App,3.7
user_46309,"""Making"" Progress Teach-Out",4.3
user_62936,Image Compression with K-Means Clustering,4.8
user_24885,.NET MAUI course with Visual Studio 2022 creating PROJECTS,4.3
user_27410,Writing Secure PHP Code - PHP Security Tutorial,3.8
user_08032,Deep Learning Foundation : Linear Regression and Statistics,3.6
user_26308,Android Development: Android App Development From Scratch,4.5
user_55351,Dino 101: Dinosaur Paleobiology,5.0
user_63529,Content Strategy for Professionals: Capstone Project,4.5
user_43782,Solar Energy Systems Overview,4.7
user_32114,"C# in Depth: Puzzles, Gotchas, Questions at Interviews",3.8
user_22603,The Complete PHP Bootcamp Course With Video Sharing Project,3.7
user_47154,Setting Up a Digital Library with EPIC,4.6
user_10631,Scaling Docker on AWS,3.8
user_09486,Oracle Certification: Mastering Java for Beginners & Experts,2.9
user_52237,Using Google Forms to Analyze User Research Data,5.0
user_62827,Chinese for HSK 1,4.6
user_25329,From 0 to 1: C Programming - Drill Deep,4.3
user_24920,Deploying web apps for new developers on AWS ec2,4.0
user_39140,"Understanding China, 1700-2000: A Data Analytic Approach, Part 1",4.7
user_58795,Jazz Improvisation,4.6
user_62829,Chinese for HSK 1,5.0
user_48730,Cryptography and Information Theory,4.7
user_42457,Six Sigma Advanced Analyze Phase,4.3
user_50152,Leading transformations: Manage change,4.6
user_31849,The Complete Unity Guide 3D - Beginner to RPG Game Dev in C#,4.6
user_62245,International Organizations Management,4.8
user_02522,DevOps MasterClass : Terraform Jenkins Kubernetes Ansible,4.2
user_04031,Mainframe: The Complete JCL Course from Beginner to Expert,4.1
user_17281,Species Distribution Models with GIS & Machine Learning in R,3.9
user_19412,How To Make A Wordpress Website -Elementor Page Builder,3.3
user_08621,Learn and Understand D3.js for Data Visualization,4.9
user_56845,Words Spun Out of Images: Visual and Literary Culture in Nineteenth Century Japan,4.8
user_42962,"Grow to Greatness: Smart Growth for Private Businesses, Part I",4.6
user_49903,Adjectives and Adjective Clauses,4.9
user_33497,Mastering XPath and CSS Selector for Selenium,4.5
user_31568,"The Complete Machine Learning 2020|Python, Math|Dummy To Pro",4.4
user_07452,Docker Swarm Mastery: DevOps Style Cluster Orchestration,3.8
user_31171,Master Laravel & Create High-Level Applications with Laravel,5.0
user_58580,Data and Health Indicators in Public Health Practice,4.7
user_00615,Artificial Intelligence A-Z: Learn How To Build An AI,4.2
user_36987,Javascript Debugging Crash Course,4.1
user_05022,The Complete PHP MYSQL Professional Course with 5 Projects,4.2
user_21343,Technical Writing: How to Write API Software Documentation,3.9
user_50181,"Accounting, Business and Society:  The Multi-faceted Role of Accounting",4.7
user_54564,Politics and Economics of International Energy,5.0
user_57892,MOS Transistors,5.0
user_59836,Classics of Chinese Humanities: Guided Readings,4.3
user_07710,Automation framework development with Selenium C# (Advanced),3.9
user_48716,Building Arduino robots and devices,3.9
user_00976,Docker Crash Course for busy DevOps and Developers,4.6
user_36600,JSON JavaScript Data Quick Course JSON for beginners,3.9
user_38673,Guided Imagery,4.9
user_56349,3D Interaction Design in Virtual Reality,4.4
user_60539,"History of Rock, Part One",4.7
user_09118,Python 101,3.5
user_17811,Beginner's Guide to Multiplayer Game Development in Unity,4.4
user_08189,Machine Learning and Data Science Hands-on with Python and R,3.8
user_43005,Learning How To Learn for Youth,5.0
user_42498,Our Earth's Future,4.7
user_50849,Introduction to Search Engine Optimization,4.8
user_17252,Big Data and Hadoop for Absolute Beginners,3.6
user_17877,Learn ASP.NET Core using MVC 6 and Entity Framework Core 1.0,4.1
user_22582,"GraphQL Apollo Server with Node.js, MongoDB - GraphQL API",4.2
user_30171,How To Startup Your Own SaaS (Software As a Service) Company,4.3
user_62940,Neural Network from Scratch in TensorFlow,4.7
user_13691,Ultimate Rust 2: Intermediate Concepts,4.5
user_18230,The Practical Linux Guide for Beginners,4.4
user_49700,Machine Learning Using SAS Viya,4.7
user_51756,What is �the mind� and what is artificial intelligence?,4.6
user_49320,"Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames",3.7
user_18428,Learn Apache Cassandra from Scratch,4.6
user_31826,Artificial Intelligence III - Deep Learning in Java,5.0
user_21752,Projects in Java,4.3
user_04479,Learn SQL Using PostgreSQL: From Zero to Hero,4.5
user_41288,"Business Intelligence Concepts, Tools, and Applications",3.8
user_00386,Modern JavaScript From The Beginning,4.8
user_49145,International Entertainment and Sports Marketing,4.3
user_01228,Core Java Made Easy (Covers the latest Java 17),4.5
user_24089,Advanced C# Course : Become a Backend Developer,4.3
user_41933,Management of Fashion and Luxury Companies,4.8
user_41136,Understanding Russians: Contexts of Intercultural Communication,4.6
user_35938,Build a Google Meet Clone from Scratch: WebRTC & Socket io,4.2
user_02284,The Complete Salesforce Development Course,4.3
user_42852,Plots (Graphics) in R,4.0
user_20411,Complete Guide to Creating COCO Datasets,4.5
user_54009,Human Resources Management Capstone: HR for People Managers,4.3
user_45095,Mastering the Software Engineering Interview,4.6
user_61465,Ash-Related Operational Challenges in Energy Utilization of Sustainable Fuels,5.0
user_60166,What is Data Science?,4.6
user_20039,SOLID principles & Design Patterns for Java programmers,3.7
user_00053,Machine Learning A-Z: Hands-On Python & R In Data Science,4.4
user_28028,Learn To Create a Match-3 Puzzle Game in Unity,5.0
user_14155,Become a Professional Programmer,4.4
